mode,load,0_resnet50-32,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,1.0,19.57540512084961,11.757087707519531,9.87405776977539
mig,1.0,27.11811065673828,5.31768798828125,5.489587783813477
