mode,load,0_densenet121-4,1_mobilenet_v3_large-16,2_resnet101-8
mps-uncap,0.8,80.22310733795159,29.80107069015501,61.60378456115723
mps-uncap,0.9,199.95438098907456,56.830487251281646,153.2037615776062
mps-uncap,1.0,2182.6766109466553,144.74528312683103,263.91417503356934
mps-uncap,0.5,34.45151805877684,21.404981613159162,31.928246021270756
mps-uncap,0.6,36.39090061187745,18.158247470855706,38.728346824645975
mps-uncap,0.7,48.18774223327638,22.912499904632515,43.97520065307618
mps-uncap,0.1,32.07690715789795,14.564568996429443,22.747330665588382
mps-uncap,0.2,36.445953845977776,18.245959281921404,24.201822280883786
mps-uncap,0.3,35.9268379211426,20.56913614273068,25.57029485702514
mps-uncap,0.4,36.9824504852295,22.38451719284059,28.976755142211903
