mode,load,0_densenet201-2,1_vgg11-2,2_vgg11-8
mps-uncap,0.8,122.31581687927249,27.23345041275025,33.17308425903322
mps-uncap,0.9,229.62275505065918,28.111486434936523,69.61775064468384
mps-uncap,1.0,2404.84836101532,309.6353721618653,273.79786014556885
mps-uncap,0.5,48.99564743042002,8.006172180175785,13.100087642669706
mps-uncap,0.6,55.13709783554072,9.541261196136512,15.54248809814453
mps-uncap,0.7,89.20177459716825,14.514105319976762,19.82583522796631
mps-uncap,0.1,38.034896850585945,3.8045382499694806,6.143555641174319
mps-uncap,0.2,41.992616653442404,4.078772068023683,7.269909381866455
mps-uncap,0.3,53.14505815505983,5.2159905433654785,9.165391921997054
mps-uncap,0.4,44.76824760437011,6.894774436950684,10.789403915405273
