mode,load,0_densenet201-2,1_vgg11-2,2_vgg11-8
mps-uncap,0.8,40.55215466982605,367.8379178129824,1454.7064959587112
mps-uncap,0.9,48.53099110783964,423.76647226077586,1628.754289026472
mps-uncap,1.0,53.13540112153647,479.2537045944561,1804.4867902490134
mps-uncap,0.5,26.085237473287155,227.77305662128776,931.6145907636042
mps-uncap,0.6,31.848144942881834,275.3578698358621,1096.3775914687726
mps-uncap,0.7,35.094385430224236,329.25535584482026,1288.406446674771
mps-uncap,0.1,5.0160832032281135,46.020332490582234,188.85225005297713
mps-uncap,0.2,10.359142088273089,91.4563935753215,363.8046818141551
mps-uncap,0.3,14.283842701814043,141.1852388321348,552.3398349232094
mps-uncap,0.4,20.222914519730512,189.71520481787715,733.5690073877033
