mode,load,0_densenet201-2,1_vgg11-2,2_vgg11-8
mps-uncap,0.8,20.196080207824707,3.1844377517700195,3.790616989135742
mps-uncap,0.9,27.44746208190918,3.410816192626953,4.028558731079102
mps-uncap,1.0,40.680885314941406,4.118919372558594,4.202604293823242
mps-uncap,0.5,19.899845123291016,1.6694068908691406,3.365159034729004
mps-uncap,0.6,17.367959022521973,1.8355846405029297,3.4558773040771484
mps-uncap,0.7,18.397808074951172,2.6521682739257812,3.65447998046875
mps-uncap,0.1,28.550386428833008,1.707315444946289,3.27455997467041
mps-uncap,0.2,23.339390754699707,1.6433000564575195,3.256559371948242
mps-uncap,0.3,21.706819534301758,1.6716718673706055,3.248453140258789
mps-uncap,0.4,20.020008087158203,1.6834735870361328,3.28826904296875
