mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,4.0340423583984375,4.78363037109375,2.0465850830078125
mps-uncap,0.9,4.042387008666992,4.871129989624023,2.100706100463867
mps-uncap,1.0,4.011869430541992,4.828214645385742,2.2678375244140625
mps-uncap,0.5,4.022836685180664,4.773616790771484,1.9512176513671875
mps-uncap,0.6,3.977060317993164,4.787683486938477,1.9564628601074219
mps-uncap,0.7,3.9522647857666016,4.740715026855469,2.017974853515625
mps-uncap,0.1,4.029750823974609,4.817008972167969,2.016782760620117
mps-uncap,0.2,4.042387008666992,4.782676696777344,1.9981861114501953
mps-uncap,0.3,4.025459289550781,4.742622375488281,1.9795894622802734
mps-uncap,0.4,3.9887428283691406,4.749774932861328,1.9440650939941406
