mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,931.108515537804,387.08575007793496,1219.3872093228094
mps-uncap,0.9,927.1669137549499,378.22093844077006,1411.5565489392993
mps-uncap,1.0,942.4520058497847,382.1560324271641,1462.329910675009
mps-uncap,0.5,618.2550811547866,290.0700159281863,771.3394426164627
mps-uncap,0.6,749.7503612613172,344.901707199094,918.7465868489054
mps-uncap,0.7,867.6081390301064,398.95786903341076,1076.920402859105
mps-uncap,0.1,126.00919358894984,57.37203574365624,155.4131927710466
mps-uncap,0.2,248.45927660688946,112.1049082539936,309.00698203773567
mps-uncap,0.3,370.0250048866724,171.65626517774635,464.57676055102314
mps-uncap,0.4,482.57903151499204,225.5750059139332,613.159679170413
