mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,14.496088027954102,13.874530792236328,12.780904769897461
mps-uncap,0.9,15.641927719116211,18.216609954833984,10.909557342529297
mps-uncap,1.0,14.607429504394531,13.036489486694336,18.162965774536133
mps-uncap,0.5,13.405323028564453,10.53619384765625,4.746913909912109
mps-uncap,0.6,18.499374389648438,10.129928588867188,15.813589096069336
mps-uncap,0.7,16.79539680480957,15.238761901855469,17.669200897216797
mps-uncap,0.1,11.564016342163086,13.04936408996582,6.086587905883789
mps-uncap,0.2,12.651443481445312,15.953540802001953,5.542993545532227
mps-uncap,0.3,12.490034103393555,15.865564346313477,11.332511901855469
mps-uncap,0.4,8.106470108032227,8.935689926147461,5.527973175048828
