mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,4.67681884765625,5.773007869720459,3.4497976303100586
mps-uncap,0.9,4.673931598663331,5.744130611419677,3.269195556640625
mps-uncap,1.0,4.582500457763671,5.679953098297117,3.2423377037048335
mps-uncap,0.5,5.017209053039552,6.155128479003907,3.878583908081056
mps-uncap,0.6,5.204248428344729,5.604696273803712,3.8930225372314453
mps-uncap,0.7,5.20932674407959,5.486998558044434,3.7897276878356934
mps-uncap,0.1,9.75663661956787,11.82432174682617,4.109258651733391
mps-uncap,0.2,9.427917003631588,10.617225170135498,3.487539291381836
mps-uncap,0.3,7.408733367919922,8.486032485961914,3.725597858428952
mps-uncap,0.4,6.478710174560537,6.9489336013793945,3.858013153076172
