mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,2730.6139707565308,6985.686302185059,17.696619033813477
mps-uncap,0.9,9253.547716140747,14532.631134986883,122.87602424621583
mps-uncap,1.0,12941.575288772583,18338.325142860413,3155.442953109741
mps-uncap,0.5,11.70659065246582,21.4055061340332,4.01768684387207
mps-uncap,0.6,20.56717872619629,46.865224838256836,5.700349807739259
mps-uncap,0.7,89.58792686462402,925.275731086731,10.021138191223145
mps-uncap,0.1,6.514358520507812,7.877111434936523,0.4948139190673826
mps-uncap,0.2,7.093334197998047,7.751655578613282,1.3362884521484404
mps-uncap,0.3,6.308841705322265,6.851673126220703,2.1136760711669917
mps-uncap,0.4,7.090139389038085,10.053205490112305,2.7328014373779297
