mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,4.257321357727051,5.145549774169922,2.6590824127197266
mps-uncap,0.9,4.281759262084961,5.267143249511719,2.687215805053711
mps-uncap,1.0,4.205226898193359,5.215644836425781,2.7163028717041016
mps-uncap,0.5,4.235029220581055,5.01096248626709,2.5072097778320312
mps-uncap,0.6,4.2095184326171875,4.997968673706055,2.552509307861328
mps-uncap,0.7,4.227638244628906,4.975080490112305,2.606630325317383
mps-uncap,0.1,8.258342742919922,9.470939636230469,2.499103546142578
mps-uncap,0.2,6.344079971313477,6.819009780883789,2.4750232696533203
mps-uncap,0.3,4.493236541748047,5.111932754516602,2.487301826477051
mps-uncap,0.4,4.238367080688477,5.040168762207031,2.5177001953125
