mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-2,2_vgg11-4
mps-uncap,0.8,4.183769226074219,4.894256591796875,2.1359920501708984
mps-uncap,0.9,4.145145416259766,5.2165985107421875,2.116680145263672
mps-uncap,1.0,4.179716110229492,5.0678253173828125,3.3321380615234375
mps-uncap,0.5,4.06956672668457,4.807710647583008,1.9631385803222656
mps-uncap,0.6,4.025936126708984,4.837512969970703,1.992940902709961
mps-uncap,0.7,3.995656967163086,5.019903182983398,2.031564712524414
mps-uncap,0.1,4.080295562744141,4.853725433349609,2.047300338745117
mps-uncap,0.2,4.054784774780273,4.82630729675293,2.012968063354492
mps-uncap,0.3,4.061460494995117,4.778861999511719,1.9981861114501953
mps-uncap,0.4,4.009723663330078,4.788875579833984,1.9593238830566406
