mode,load,0_vgg19-4,1_resnet101-8,2_resnet34-8
mps-uncap,1.0,6.5468549728393555,20.34282684326172,8.228540420532227
mig,1.0,8.391857147216797,19.63639259338379,7.1468353271484375
