mode,load,0_densenet169-2,1_densenet169-2,2_densenet169-2,3_densenet169-2
mig,0.1,20.520154347381396,20.935436339704943,20.127105991035403,16.056944489434418
mig,0.2,40.13268135590379,39.38143833213606,40.48619532346611,33.70027808111013
mig,0.3,59.060855237764194,60.191687212173015,58.41442664646745,48.65084398460357
mig,0.4,76.74901568457649,76.4631004090207,79.31174700863552,66.82076198435837
mig,0.5,98.60404865542615,98.24215625706023,97.49180661997474,88.54590286651205
mig,0.6,118.10109413551983,118.72179073546741,121.99359966070372,102.32202771564536
mig,0.7,136.31918148082605,130.8371403499633,134.21120657901622,116.68806333438842
mig,0.8,161.1858982003751,152.62441948678608,157.9133782793997,136.69611666416083
mig,0.9,180.3395142424958,173.75739142878788,179.05030343705283,152.55441119592342
mig,1.0,194.6143859633516,194.00468235130924,190.5353878398749,168.5476616371299
