mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_vgg19-16
mps-uncap,0.8,99.32708740234375,96.2686538696289,130.94639778137207
mps-uncap,0.9,200.64306259155273,170.52578926086426,201.32732391357422
mps-uncap,1.0,394.9294090270996,625.6082057952881,638.8201713562012
mps-uncap,0.5,56.150197982788086,42.94776916503906,66.57123565673828
mps-uncap,0.6,49.80587959289551,42.79756546020508,129.32538986206055
mps-uncap,0.7,70.26410102844238,75.8817195892334,105.19051551818848
mps-uncap,0.1,16.62611961364746,13.505935668945312,22.048234939575195
mps-uncap,0.2,22.26853370666504,25.053739547729492,37.31369972229004
mps-uncap,0.3,23.70619773864746,34.662723541259766,41.361331939697266
mps-uncap,0.4,37.07575798034668,42.84238815307617,49.015045166015625
