mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_vgg19-16
mps-uncap,0.8,18.859386444091797,20.77479362487793,42.75238513946533
mps-uncap,0.9,38.440799713134766,49.355030059814496,69.98536586761475
mps-uncap,1.0,231.6473007202149,419.0361499786377,275.8500576019287
mps-uncap,0.5,6.947088241577144,6.272506713867188,13.810300827026373
mps-uncap,0.6,9.942770004272461,8.096122741699219,22.049331665039062
mps-uncap,0.7,11.541986465454094,13.027524948120124,30.989742279052738
mps-uncap,0.1,0.07119178771972655,0.0707387924194336,0.07176399230957031
mps-uncap,0.2,0.08130073547363287,0.08387565612793006,5.13424873352051
mps-uncap,0.3,2.874612808227539,2.689242362976075,8.379697799682617
mps-uncap,0.4,4.831671714782719,5.079507827758792,10.080933570861816
