mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_vgg19-16
mps-uncap,0.8,1771.2080192355404,1789.2725521515451,912.3921830376001
mps-uncap,0.9,1930.4556993399026,1996.0338226512229,1010.5695447313811
mps-uncap,1.0,2184.872408434883,2363.38037848184,1141.8547856986
mps-uncap,0.5,1075.9847759183574,1194.754579918205,582.2962815154204
mps-uncap,0.6,1300.5620611950792,1342.9362554186985,692.060353851244
mps-uncap,0.7,1508.3765349589303,1580.7207848418975,812.4479417389764
mps-uncap,0.1,220.7129070282606,228.73767244769758,121.52434083478404
mps-uncap,0.2,439.7212574769545,492.1947548662438,228.4719418538823
mps-uncap,0.3,647.7238774834739,669.4829853254794,358.2069530532856
mps-uncap,0.4,870.9187824231215,913.3701787287985,465.00196271387415
