mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_vgg19-16
mps-uncap,0.8,64.35189247131342,67.78217315673824,103.9796948432922
mps-uncap,0.9,140.0630497932435,126.19165420532228,139.41375017166126
mps-uncap,1.0,340.96830368042004,562.5261187553406,579.6267986297607
mps-uncap,0.5,27.123446464538578,25.64663887023925,42.61789798736572
mps-uncap,0.6,34.53297615051268,29.691977500915517,74.87241744995117
mps-uncap,0.7,43.54015350341799,45.319113731384284,73.94972324371331
mps-uncap,0.1,12.026996612548828,12.061986923217773,20.40309906005859
mps-uncap,0.2,15.543031692504876,16.598234176635742,23.631930351257317
mps-uncap,0.3,18.300247192382795,18.634138107299815,30.38311004638672
mps-uncap,0.4,23.35532426834115,24.248399734497042,36.32885217666626
