mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32,2_vgg19-16
mps-uncap,0.8,13.608932495117188,14.365911483764648,13.413786888122559
mps-uncap,0.9,13.964104652404785,14.822101593017578,13.640928268432617
mps-uncap,1.0,15.642762184143066,14.268660545349121,13.953685760498047
mps-uncap,0.5,12.28351593017578,11.875391006469727,12.539052963256836
mps-uncap,0.6,12.974977493286133,12.56723403930664,12.846755981445314
mps-uncap,0.7,13.204431533813477,13.839769363403322,13.19880485534668
mps-uncap,0.1,7.149696350097656,7.281827926635742,11.460304260253906
mps-uncap,0.2,10.185909271240234,9.020948410034181,11.76156997680664
mps-uncap,0.3,11.394023895263672,11.097550392150879,11.88206672668457
mps-uncap,0.4,11.422419548034668,11.788034439086914,12.291431427001953
