mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16
mig,0.1,0.0286102294921875,0.028133392333984375
mig,0.2,0.027418136596679688,0.028133392333984375
mig,0.3,0.027418136596679688,0.0286102294921875
mig,0.4,0.040531158447265625,1.208186149597168
mig,0.5,1.2816190719604492,2.9157400131225586
mig,0.6,2.382636070251465,6.3942670822143555
mig,0.7,4.860877990722656,13.98932933807373
mig,0.8,8.606791496276855,1099.6309518814087
mig,0.9,35.944461822509766,4056.5789937973022
mig,1.0,2252.1344423294067,6311.887741088867
