mode,load,0_resnet50-2,1_resnet50-2,2_resnet50-2,3_resnet50-2
mig,0.1,14.11581039428711,12.121200561523438,14.70947265625,14.123916625976562
mig,0.2,16.760826110839844,12.273311614990234,16.885995864868164,15.207052230834961
mig,0.3,18.984556198120117,10.142803192138672,19.045591354370117,18.649578094482422
mig,0.4,16.503334045410156,21.285295486450195,14.60576057434082,9.433984756469727
mig,0.5,18.17917823791504,13.893842697143555,10.533809661865234,21.692514419555664
mig,0.6,18.30887794494629,18.47672462463379,12.66932487487793,20.842790603637695
mig,0.7,17.656803131103516,17.43292808532715,16.473054885864258,20.786046981811523
mig,0.8,17.136335372924805,17.549991607666016,17.71378517150879,20.67708969116211
mig,0.9,13.959169387817383,18.225431442260742,17.820119857788086,21.05236053466797
mig,1.0,18.100738525390625,18.04518699645996,17.23504066467285,20.881175994873047
