mode,load,0_alexnet-16,1_alexnet-16
mig,0.1,0.028133392333984375,0.028133392333984375
mig,0.2,0.026702880859375,0.027418136596679688
mig,0.3,0.027894973754882812,0.027418136596679688
mig,0.4,0.028371810913085938,0.027894973754882812
mig,0.5,0.7017850875854492,0.8122920989990234
mig,0.6,1.6372203826904297,1.8002986907958984
mig,0.7,2.7589797973632812,3.6008358001708984
mig,0.8,8.809804916381836,6.330728530883789
mig,0.9,145.0021266937256,171.88870906829834
mig,1.0,3849.769711494446,3259.983777999878
