mode,load,0_alexnet-16,1_alexnet-16
mig,0.1,0.011920928955078125,0.011920928955078125
mig,0.2,0.01049041748046875,0.011444091796875
mig,0.3,0.011205673217773438,0.01049041748046875
mig,0.4,0.008821487426757812,0.009059906005859375
mig,0.5,0.008821487426757812,0.008821487426757812
mig,0.6,0.008821487426757812,0.008821487426757812
mig,0.7,0.0095367431640625,0.009298324584960938
mig,0.8,0.008821487426757812,0.008821487426757812
mig,0.9,0.010013580322265625,0.010967254638671875
mig,1.0,0.010967254638671875,0.011444091796875
