mode,load,0_alexnet-16,1_densenet169-2,2_vgg16-32
mps-uncap,0.8,53.47039699554445,79.72359657287598,237.9814147949219
mps-uncap,0.9,858.4155559539796,203.96666526794434,956.7710399627686
mps-uncap,1.0,3964.1406059265137,529.3634176254272,5764.575433731077
mps-uncap,0.5,7.8618049621582005,9.814453125000007,39.532518386840806
mps-uncap,0.6,12.708139419555673,27.619004249572754,53.96778583526613
mps-uncap,0.7,18.45455169677734,73.40035438537598,100.12171268463133
mps-uncap,0.1,0.04601478576660156,0.050067901611328125,0.04858970642089844
mps-uncap,0.2,0.2263784408569337,0.051569938659667976,12.80131340026856
mps-uncap,0.3,1.6645193099975581,0.06537437438964845,19.862699508666985
mps-uncap,0.4,4.505205154418945,0.06194114685058595,21.35787010192872
