mode,load,0_alexnet-16,1_densenet169-2,2_vgg16-32
mps-uncap,0.8,1874.391172775575,17.820262949280735,1230.9440708752152
mps-uncap,0.9,2060.74305492795,21.325233775146323,1351.8797212925824
mps-uncap,1.0,2171.725172274934,23.49558417937043,1336.5013663606253
mps-uncap,0.5,1118.527718985254,11.919029501916093,734.8010825872581
mps-uncap,0.6,1342.318505355812,14.323355491568245,879.7663515950617
mps-uncap,0.7,1587.9653537762053,16.662074401058923,1094.179156248492
mps-uncap,0.1,214.73150724651532,2.365263655077074,145.37651292398803
mps-uncap,0.2,453.5175795851541,4.014568084881577,306.91695262771566
mps-uncap,0.3,688.6815056815701,6.762412025165439,431.5907786638384
mps-uncap,0.4,930.7775578279515,8.71124897952866,624.4367403470396
