mode,load,0_alexnet-16,1_densenet169-2,2_vgg16-32
mps-uncap,0.8,141.34740829467773,264.15348052978516,395.3213691711426
mps-uncap,0.9,1020.5626487731934,452.00300216674805,1730.8824062347412
mps-uncap,1.0,4259.698152542114,1097.808837890625,6556.389093399048
mps-uncap,0.5,48.39181900024414,76.98655128479004,120.46194076538086
mps-uncap,0.6,63.5678768157959,105.02886772155762,138.47684860229492
mps-uncap,0.7,74.54562187194824,208.00232887268066,267.7438259124756
mps-uncap,0.1,11.84988021850586,0.05507469177246094,30.590534210205078
mps-uncap,0.2,19.430160522460938,39.52145576477051,74.88775253295898
mps-uncap,0.3,15.613555908203125,36.26537322998047,69.71263885498047
mps-uncap,0.4,23.57792854309082,58.85004997253418,66.15734100341797
