mode,load,0_inception_v3-4,1_squeezenet1_1-2,2_vgg19-4
mps-uncap,0.8,127.48344898223871,40.47405242919923,63.21962356567375
mps-uncap,0.9,796.6475725173946,318.7985420227051,187.13457584381143
mps-uncap,1.0,3517.305073738098,5673.759553432465,4418.018836975099
mps-uncap,0.5,31.457805633544904,7.578477859497031,14.22687768936153
mps-uncap,0.6,43.74276876449574,7.440671920776368,19.75961685180665
mps-uncap,0.7,53.866021633148165,19.325141906738224,37.01905250549316
mps-uncap,0.1,24.833955764770497,4.73836183547976,4.918687343597416
mps-uncap,0.2,26.632163524627675,7.984161376953125,5.585813522338886
mps-uncap,0.3,27.12782859802246,8.634757995605442,7.394385337829591
mps-uncap,0.4,23.546552658081044,7.65924930572508,9.697806835174584
