mode,load,1_mobilenet_v2-2,2_resnet101-32,3_resnet101-32
mps-uncap,0.1,13.953912258148197,18.68593692779541,19.481277465820312
mps-uncap,0.2,16.182641983032223,33.02119970321655,30.7600975036621
mps-uncap,0.3,15.405011177062983,27.736663818359368,28.780004978179925
mps-uncap,0.4,17.791192531585686,66.83486938476545,32.18086004257215
mps-uncap,0.5,16.64403915405273,49.04138565063476,67.08900451660142
mps-uncap,0.6,22.07086324691767,40.44906616210937,87.58016586303708
mps-uncap,0.7,20.826911926269528,61.61995887756325,136.6938829421997
mps-uncap,0.8,89.48678731918359,200.48121690750142,379.0630197525022
mps-uncap,0.9,109.66996192932139,662.1702361106875,443.43123912811285
mps-uncap,1.0,723.0627346038818,2482.077877521515,1520.3143405914307
mps-uncap,1.1,536.856575012207,1207.7697873115544,2132.562394142151
mps-uncap,1.2,2427.6018857955933,2375.215799808502,4462.110376358032
mps-uncap,1.3,4084.4465923309326,1653.9273619651794,6520.687732696533
mps-uncap,1.4,4857.556366920471,5308.514947891234,6377.815046310424
mps-uncap,1.5,6579.575943946838,5533.93960237503,9663.316416740417
orion,0.1,59.02128219604493,78.90742301940901,100.85093021392822
orion,0.2,75.44096708297732,175.3978443145752,44.94423627853388
orion,0.3,131.18551731109594,43.7050580978394,209.68133211135864
orion,0.4,102.81635284423821,360.3039455413817,284.3372726440427
orion,0.5,327.44064331054693,80.35508632659915,359.7272682189939
orion,0.6,595.819339752197,896.8967199325562,104.72043991088891
orion,0.7,2582.8354310989375,106.63926601409912,692.686545848845
orion,0.8,10788.153429031374,130.1250147819517,1454.885005950927
orion,0.9,11894.681751728058,1836.5053415298462,121.41771316528357
orion,1.0,15032.12248802185,6055.588560104368,202.47001171112063
orion,1.1,15058.14429759979,242.8863525390623,9012.664294242852
orion,1.2,17135.8460187912,470.40668725967396,12559.725706577301
orion,1.3,14284.210767745972,262.7802801132203,16903.969769477844
orion,1.4,18030.64829826355,15447.534527778625,746.5071129798888
orion,1.5,17991.628420352936,331.0082960128785,16177.956156730652
ts,0.1,13.461399078369144,20.5753231048584,22.581758499145508
ts,0.2,15.585594177246096,34.81690645217894,43.44670772552497
ts,0.3,16.83176279067991,33.33489894866944,27.910575866699215
ts,0.4,21.556730270385728,42.17614173889168,35.97534656524663
ts,0.5,21.46763801574707,135.1829218864441,126.07674598693838
ts,0.6,15.928208827972412,190.95719337463376,316.79585456848133
ts,0.7,22.542047500610355,480.92133998870855,949.5309591293338
ts,0.8,21.594142913818366,1039.2548680305483,2031.6132450103764
ts,0.9,22.056834697723378,1730.3470277786244,2369.771032333374
ts,1.0,22.729055881500244,4901.391775608062,5854.616832733154
ts,1.1,28.714332580566417,7446.429395675659,5872.725749015808
ts,1.2,31.005756855010972,7611.992907524109,8174.292135238648
ts,1.3,30.863914489746094,8807.432165145874,8310.278041362762
ts,1.4,38.46230506896958,8396.931929588318,8544.450407028198
ts,1.5,39.1420793533325,10365.756070613861,11841.812455654144
