mode,load,0_mobilenet_v2-2,1_resnet101-32,2_resnet101-32
mps-uncap,0.1,8.673787117004395,48.96664619445801,49.06117916107178
mps-uncap,0.2,8.426189422607422,49.39746856689453,49.21555519104004
mps-uncap,0.3,8.622884750366211,49.47805404663086,49.9117374420166
mps-uncap,0.4,8.456707000732422,57.190656661987305,55.539846420288086
mps-uncap,0.5,8.928775787353516,62.09826469421387,69.12529468536377
mps-uncap,0.6,11.611223220825195,84.0073823928833,86.21466159820557
mps-uncap,0.7,14.32180404663086,87.10289001464844,92.65327453613281
mps-uncap,0.8,19.15597915649414,113.64054679870605,118.96228790283203
mps-uncap,0.9,28.336286544799805,155.86161613464355,161.37218475341797
mps-uncap,1.0,119.66896057128906,780.4403305053711,264.92762565612793
mps-uncap,1.1,6365.691184997559,6051.523208618164,8218.896389007568
mps-uncap,1.2,9582.354307174683,10826.438069343567,13146.500587463379
mps-uncap,1.3,14179.116368293762,10639.628052711487,13982.353806495667
mps-uncap,1.4,16146.910905838013,16055.378675460815,16544.123768806458
mps-uncap,1.5,19007.681250572205,20026.868104934692,22124.335527420044
orion,0.1,8.487462997436523,55.25219440460205,49.05271530151367
orion,0.2,8.39376449584961,57.422637939453125,49.16191101074219
orion,0.3,7.552862167358398,62.21449375152588,49.082159996032715
orion,0.4,11.460185050964355,73.14097881317139,49.14546012878418
orion,0.5,28.004169464111328,107.01203346252441,49.06105995178223
orion,0.6,72.08263874053955,129.48572635650635,49.22890663146973
orion,0.7,310.316801071167,215.41428565979004,49.18718338012695
orion,0.8,15452.676773071289,507.7633857727051,49.11243915557861
orion,0.9,30577.306509017944,4548.450350761414,49.15452003479004
orion,1.0,34041.863560676575,11179.818868637085,49.156904220581055
orion,1.1,38110.56196689606,22698.558688163757,49.282073974609375
orion,1.2,43876.71613693237,31789.711236953735,49.288034439086914
orion,1.3,44179.62610721588,33354.59756851196,49.291133880615234
orion,1.4,46824.8815536499,34735.73875427246,49.25179481506348
orion,1.5,45345.14331817627,36774.57404136658,49.378395080566406
ts,0.1,8.694887161254883,48.65074157714844,48.71475696563721
ts,0.2,8.5831880569458,51.12648010253906,51.37133598327637
ts,0.3,8.485078811645508,53.31826210021973,54.50034141540527
ts,0.4,8.838415145874023,65.33825397491455,66.45023822784424
ts,0.5,9.266376495361328,83.62150192260742,89.26057815551758
ts,0.6,9.714484214782715,110.4896068572998,110.41450500488281
ts,0.7,10.311484336853027,156.61287307739258,146.35276794433594
ts,0.8,11.714935302734375,2332.759141921997,456.06470108032227
ts,0.9,12.454509735107422,10316.292762756348,3636.286497116089
ts,1.0,12.162923812866211,15201.50101184845,11998.628616333008
ts,1.1,12.717962265014648,18655.66313266754,16530.839204788208
ts,1.2,14.885902404785156,25311.511278152466,19752.04062461853
ts,1.3,15.656709671020508,28637.285232543945,23947.802782058716
ts,1.4,17.84670352935791,26615.437150001526,24606.180429458618
ts,1.5,18.82147789001465,30930.75466156006,28582.813024520874
