mode,load,0_mobilenet_v2-2,1_resnet101-32,2_resnet101-32
mps-uncap,0.1,14.33706283569336,53.18951606750488,35.77876091003418
mps-uncap,0.2,30.56645393371582,90.76237678527832,56.93674087524414
mps-uncap,0.3,34.970760345458984,105.43680191040039,145.39813995361328
mps-uncap,0.4,56.725263595581055,210.35122871398926,126.94025039672852
mps-uncap,0.5,59.27705764770508,162.74380683898926,176.70249938964844
mps-uncap,0.6,98.81472587585449,303.8492202758789,560.0168704986572
mps-uncap,0.7,106.47916793823242,534.691333770752,382.1413516998291
mps-uncap,0.8,180.89699745178223,619.8036670684814,629.7526359558105
mps-uncap,0.9,344.96402740478516,929.6879768371582,1099.292278289795
mps-uncap,1.0,1043.848991394043,4890.528202056885,1208.5564136505127
mps-uncap,1.1,11503.81588935852,12532.800674438477,15470.52526473999
mps-uncap,1.2,20472.381114959717,18606.051445007324,19043.85471343994
mps-uncap,1.3,21577.0263671875,28743.467330932617,31271.865129470825
mps-uncap,1.4,21511.99436187744,32746.08302116394,32728.78074645996
mps-uncap,1.5,21639.431953430176,39890.38825035095,42443.843603134155
orion,0.1,52.24609375,43.84255409240723,46.81277275085449
orion,0.2,104.4924259185791,153.71084213256836,44.719696044921875
orion,0.3,358.72960090637207,278.09643745422363,76.7509937286377
orion,0.4,342.3125743865967,299.4999885559082,49.35574531555176
orion,0.5,486.8733882904053,367.2516345977783,98.2973575592041
orion,0.6,1107.7826023101807,816.7381286621094,136.37161254882812
orion,0.7,2236.4895343780518,1027.9738903045654,138.7479305267334
orion,0.8,33507.216691970825,2545.3178882598877,143.6440944671631
orion,0.9,56512.062311172485,8690.35267829895,167.04678535461426
orion,1.0,63964.03646469116,24121.665239334106,145.51877975463867
orion,1.1,67907.95707702637,44877.68626213074,188.11464309692383
orion,1.2,74578.10854911804,59258.164167404175,183.32695960998535
orion,1.3,78797.04570770264,67110.68892478943,196.80523872375488
orion,1.4,86277.25386619568,69960.22534370422,247.4226951599121
orion,1.5,92586.26914024353,78012.51435279846,295.365571975708
ts,0.1,12.959718704223633,115.36812782287598,48.95162582397461
ts,0.2,16.53575897216797,90.46673774719238,142.85564422607422
ts,0.3,23.724079132080078,127.95567512512207,244.34137344360352
ts,0.4,20.27416229248047,209.6555233001709,171.10276222229004
ts,0.5,21.671772003173828,381.685733795166,299.8373508453369
ts,0.6,29.33526039123535,530.8616161346436,473.9518165588379
ts,0.7,54.45575714111328,1678.9031028747559,1158.5922241210938
ts,0.8,47.68228530883789,4680.891513824463,2434.0364933013916
ts,0.9,54.0010929107666,21209.553718566895,6946.976900100708
ts,1.0,62.42632865905762,33164.27731513977,20457.148551940918
ts,1.1,68.68910789489746,40419.71254348755,31051.5456199646
ts,1.2,721.6706275939941,51074.498891830444,40593.303203582764
ts,1.3,106.89806938171387,57254.939794540405,47235.00895500183
ts,1.4,253.218412399292,58708.31632614136,51674.74317550659
ts,1.5,88.00840377807617,60063.85779380798,58395.07794380188
