mode,load,0_mobilenet_v3_large-2,1_resnet152-4,2_vgg19-2
mps-uncap,0.8,5.401358604431152,18.329381942749023,4.278316497802734
mps-uncap,0.9,5.624258518218994,15.743327140808105,4.379358291625977
mps-uncap,1.0,5.376834869384766,18.469266891479492,4.315667152404785
mps-uncap,0.5,6.042666435241697,16.10612392425537,4.040474891662597
mps-uncap,0.6,5.681920051574707,15.55241584777832,4.11245584487915
mps-uncap,0.7,5.542142391204836,15.154862403869629,4.180629253387451
mps-uncap,0.1,11.407907009124758,30.7547664642334,4.886980056762693
mps-uncap,0.2,10.966117382049559,23.87016534805298,3.7620353698730473
mps-uncap,0.3,9.135842323303224,22.161264419555653,3.852996826171875
mps-uncap,0.4,7.330207824707019,17.11742401123047,4.016821384429931
