mode,load,0_squeezenet1_1-8,1_vgg11-8,2_vgg13-16
mps-uncap,0.8,1.7402172088623047,3.570079803466797,8.652687072753906
mps-uncap,0.9,2.1080970764160156,3.6220550537109375,8.745431900024414
mps-uncap,1.0,2.0270347595214844,3.614187240600586,11.434078216552734
mps-uncap,0.5,1.7266273498535156,3.4570693969726562,8.583545684814453
mps-uncap,0.6,1.756429672241211,3.545045852661133,8.644819259643555
mps-uncap,0.7,1.7380714416503906,3.5390853881835938,8.646965026855469
mps-uncap,0.1,2.0542144775390625,3.576040267944336,8.667707443237305
mps-uncap,0.2,2.2144317626953125,3.5457611083984375,8.628368377685547
mps-uncap,0.3,2.072572708129883,3.560781478881836,8.582830429077148
mps-uncap,0.4,1.7549991607666016,3.519773483276367,8.524894714355469
