mode,load,0_squeezenet1_1-8,1_vgg11-8,2_vgg13-16
mps-uncap,0.8,75.16235113143921,78.96935701370239,100.94724655151353
mps-uncap,0.9,672.0699596405034,339.64816570282005,1146.2384462356567
mps-uncap,1.0,7219.35655593872,1439.82084274292,5853.046855926514
mps-uncap,0.5,23.514747619628906,24.408488273620602,44.010362625122085
mps-uncap,0.6,33.091363906860344,32.76320219039917,78.3725166320801
mps-uncap,0.7,56.56389236450195,48.49847793579102,85.22539138793945
mps-uncap,0.1,13.008041381835948,14.204263687133789,26.146030426025387
mps-uncap,0.2,11.837241649627689,13.274836540222157,24.47534561157228
mps-uncap,0.3,13.467490673065177,15.681278705596931,28.181729316711426
mps-uncap,0.4,17.816684246063232,20.052847862243688,30.417165756225586
