mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,35.20536422729492,36.41676902770996,9.479761123657227
mps-uncap,0.9,128.59797477722168,753.8343667984009,103.28364372253418
mps-uncap,1.0,2481.3605546951294,3797.8923320770264,55.733680725097656
mps-uncap,0.5,0.033974647521972656,0.02956390380859375,0.025033950805664062
mps-uncap,0.6,0.05364418029785156,0.0362396240234375,0.026226043701171875
mps-uncap,0.7,21.182537078857422,19.934892654418945,0.02562999725341797
mps-uncap,0.1,0.043511390686035156,0.041961669921875,0.042438507080078125
mps-uncap,0.2,0.040411949157714844,0.041484832763671875,0.03170967102050781
mps-uncap,0.3,0.030875205993652344,0.032901763916015625,0.029325485229492188
mps-uncap,0.4,0.03147125244140625,0.030994415283203125,0.025987625122070312
