mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,511.9473013463407,211.38507046691726,117.77817681863124
mps-uncap,0.9,606.3176909467368,246.6108819367025,137.75698903976274
mps-uncap,1.0,624.978390815536,237.55723898801133,148.07528535354965
mps-uncap,0.5,321.0651227150867,129.1997278323463,74.35795788112998
mps-uncap,0.6,385.2024448752932,158.4236146815439,88.46009575954102
mps-uncap,0.7,464.8759754500797,192.22411508713458,106.32134631920904
mps-uncap,0.1,77.57806798454521,24.942675441776807,15.4064026787672
mps-uncap,0.2,126.93866103399262,55.95796827747252,31.173665125520472
mps-uncap,0.3,173.35856557286627,83.27974791534434,45.889076355599954
mps-uncap,0.4,266.01561800935764,101.42534590151513,58.52011075600859
