mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,29.40821647644043,27.87470817565918,8.569955825805664
mps-uncap,0.9,29.62327003479004,28.197050094604492,8.699893951416016
mps-uncap,1.0,30.501127243041992,30.709505081176758,9.030818939208984
mps-uncap,0.5,29.308557510375977,27.93741226196289,8.43954086303711
mps-uncap,0.6,29.321670532226562,27.86993980407715,8.600234985351562
mps-uncap,0.7,29.35504913330078,27.974843978881836,8.402109146118164
mps-uncap,0.1,29.56843376159668,28.705596923828125,8.733272552490234
mps-uncap,0.2,29.331445693969727,27.94933319091797,8.443593978881836
mps-uncap,0.3,29.3426513671875,27.785062789916992,8.589982986450195
mps-uncap,0.4,29.002904891967773,27.922868728637695,8.446216583251953
