mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,58.263301849365234,70.93358039855957,37.81437873840332
mps-uncap,0.9,55.4807186126709,80.72900772094727,41.837453842163086
mps-uncap,1.0,61.57970428466797,74.66650009155273,34.54089164733887
mps-uncap,0.5,55.78112602233887,72.95036315917969,34.69991683959961
mps-uncap,0.6,57.024478912353516,72.14474678039551,38.26761245727539
mps-uncap,0.7,61.797142028808594,75.67119598388672,37.954092025756836
mps-uncap,0.1,73.55880737304688,71.44927978515625,45.64499855041504
mps-uncap,0.2,55.617570877075195,69.53191757202148,35.98380088806152
mps-uncap,0.3,54.0621280670166,69.33999061584473,33.25605392456055
mps-uncap,0.4,55.193424224853516,76.02047920227051,33.21433067321777
