mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,54.3057918548584,63.1788969039917,31.783580780029297
mps-uncap,0.9,50.94180107116699,73.96583557128906,34.752440452575684
mps-uncap,1.0,53.73063087463379,72.12247848510742,30.08513450622559
mps-uncap,0.5,50.80711841583252,63.43269348144531,22.312641143798835
mps-uncap,0.6,52.16865539550781,61.11378669738771,28.60422134399414
mps-uncap,0.7,52.38947868347168,68.17231178283691,26.369380950927734
mps-uncap,0.1,47.50351905822754,55.39858341217041,20.68285942077637
mps-uncap,0.2,45.95584869384766,50.14414787292482,19.998741149902344
mps-uncap,0.3,48.90298843383789,56.761980056762695,20.051980018615726
mps-uncap,0.4,50.66232681274414,61.976194381713874,21.234750747680664
