mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,444.6568489074707,482.865571975708,272.2480297088623
mps-uncap,0.9,972.4304676055908,2037.3828411102295,688.4326934814453
mps-uncap,1.0,5398.000001907349,9425.394773483276,422.666072845459
mps-uncap,0.5,215.78097343444824,173.0499267578125,64.7420883178711
mps-uncap,0.6,314.91565704345703,298.42662811279297,142.41671562194824
mps-uncap,0.7,286.3149642944336,451.9226551055908,126.41644477844238
mps-uncap,0.1,107.41043090820312,116.58692359924316,45.667409896850586
mps-uncap,0.2,91.42422676086426,123.7192153930664,44.13104057312012
mps-uncap,0.3,100.87823867797852,107.10000991821289,48.50888252258301
mps-uncap,0.4,177.70981788635254,192.52538681030273,49.38173294067383
