mode,load,0_efficientnet_b5-32,1_efficientnet_b7-16,2_inception_v3-4
mps-uncap,0.8,56.331939697265625,67.56805896759033,35.990567207336426
mps-uncap,0.9,52.26931571960448,75.73551177978516,37.682087421417236
mps-uncap,1.0,54.59540605545043,74.09359931945801,33.40549945831299
mps-uncap,0.5,53.8112998008728,71.48068904876709,31.07626914978027
mps-uncap,0.6,55.45103073120115,68.31788539886476,34.92961406707763
mps-uncap,0.7,54.28370475769043,73.46189022064209,31.366784572601315
mps-uncap,0.1,56.98518276214596,68.69660615921022,33.908424377441406
mps-uncap,0.2,51.534132957458496,65.67923069000244,29.914278984069803
mps-uncap,0.3,53.31745862960815,66.32740974426272,26.13382577896118
mps-uncap,0.4,54.19522285461426,72.68754005432127,29.619519710540782
