mode,load,0_vgg11-32,1_efficientnet_b6-8,2_mobilenet_v2-4
mps-uncap,1.0,2354.3795476459854,132.26917154956266,294.1446543568228
mig,1.0,1347.1041477929937,223.4140890280549,996.1535247017923
