mode,load,0_vgg11-32,1_efficientnet_b6-8,2_mobilenet_v2-4
mps-uncap,1.0,24.984359741210938,71.04802131652832,22.619247436523438
mig,1.0,34.124135971069336,50.2467155456543,11.142730712890625
