mode,load,0_vgg11-32,1_efficientnet_b6-8,2_mobilenet_v2-4
mps-uncap,1.0,14.403724670410158,65.42882919311523,16.90387725830078
mig,1.0,24.09825325012207,36.02728843688965,4.215240478515625
