mode,load,0_vgg11-32,1_efficientnet_b6-8,2_mobilenet_v2-4
mps-uncap,1.0,15.052218437194824,67.03577041625977,20.902099609375004
mig,1.0,25.97681045532227,36.99833393096924,4.340648651123047
