mode,load,0_vgg11-32,1_efficientnet_b6-8,2_mobilenet_v2-4
mps-uncap,1.0,24.984359741210938,71.04825973510742,22.619247436523438
mig,1.0,34.12437438964844,50.2469539642334,11.142969131469727
