mode,load,0_vgg11-32,1_efficientnet_b6-8,2_mobilenet_v2-4
mps-uncap,1.0,15.052268505096436,67.03622817993164,20.902338027954105
mig,1.0,25.97704887390137,36.99847221374512,4.340648651123047
