mode,load,0_densenet201-2,1_mobilenet_v3_small-32,2_resnet101-4
mps-uncap,0.8,95.10904185486665,6709.389856351761,385.3042566993366
mps-uncap,0.9,95.83116191985468,6840.248095355353,424.5854528651182
mps-uncap,1.0,95.42485288795682,6868.341433422033,428.23098314622416
mps-uncap,0.5,62.130483357125705,4342.0378228881455,250.7350017974963
mps-uncap,0.6,75.2176008006545,5069.782759927215,293.1087000080454
mps-uncap,0.7,89.03073850910442,5976.66705177603,338.14663150465464
mps-uncap,0.1,12.148993710509897,849.9445559528599,49.58882010106322
mps-uncap,0.2,24.798265355599877,1766.6944186980013,94.62516206300133
mps-uncap,0.3,37.870603650976726,2523.974411230368,145.03919679266954
mps-uncap,0.4,49.47551804207662,3369.5499367746797,194.08413678015148
