mode,load,0_densenet201-2,1_mobilenet_v3_small-32,2_resnet101-4
mps-uncap,0.8,932.6337575912476,17.948627471923828,47.11461067199707
mps-uncap,0.9,4658.61964225769,3227.3571491241455,1051.1982440948486
mps-uncap,1.0,7861.494541168213,6264.312744140625,3417.672634124756
mps-uncap,0.5,34.8743200302124,7.1086883544921875,11.780500411987305
mps-uncap,0.6,48.36475849151611,8.604288101196289,15.921831130981445
mps-uncap,0.7,105.45158386230469,14.24717903137207,20.584583282470703
mps-uncap,0.1,23.10037612915039,9.308457374572754,16.40141010284424
mps-uncap,0.2,22.675275802612305,7.57145881652832,12.242555618286133
mps-uncap,0.3,22.949934005737305,6.4544677734375,11.166095733642578
mps-uncap,0.4,23.834228515625,6.11722469329834,10.792970657348633
