mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,82.68439769744865,40.512409210205035,227.10113525390605
mig,0.6,210.48026084899865,38.29050540924075,754.3533682823174
mps-uncap,0.7,103.90911102294926,100.38130760192865,292.1968650817874
mig,0.7,358.99652004241943,53.75370264053339,820.896565914154
mps-uncap,0.8,168.85710716247556,126.92567825317438,303.0628561973572
mig,0.8,330.1976203918457,73.68907928466817,725.1150608062743
mps-uncap,0.9,123.82050991058343,340.30926465987994,496.9220256805417
mig,0.9,766.9692516326904,145.49407482147154,2257.359266281127
mps-uncap,1.0,167.830126285553,1370.4355955123897,1172.6957011222833
mig,1.0,1435.7204723358154,443.36352348327625,2863.7434673309326
mps-uncap,1.1,175.61242103576663,18293.076095581055,1409.7648620605466
mig,1.1,10800.9822845459,7342.6458287239075,9399.087057113646
mps-uncap,1.2,303.7061214447019,28705.243582725525,10813.725383281708
mig,1.2,11838.710639476776,13669.172339439392,17503.51505279541
mps-uncap,1.3,519.4570064544677,43059.75962638856,17647.73404598236
mig,1.3,22469.540889263153,20605.92279434204,19852.913694381714
