mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,22.807717323303223,3.7288665771484375,61.01024150848389
mig,0.6,41.59057140350342,6.510257720947266,133.90696048736572
mps-uncap,0.7,23.33211898803711,3.9511919021606445,63.460588455200195
mig,0.7,41.97216033935547,6.558656692504883,134.2839002609253
mps-uncap,0.8,24.029254913330078,4.335880279541016,70.16110420227051
mig,0.8,42.33729839324951,6.623029708862305,135.13612747192383
mps-uncap,0.9,25.629281997680664,4.601001739501953,80.91902732849121
mig,0.9,42.8619384765625,6.742954254150391,136.31033897399902
mps-uncap,1.0,26.845097541809082,4.970192909240723,93.72138977050781
mig,1.0,43.35427284240723,6.808757781982422,136.9783878326416
mps-uncap,1.1,27.510643005371094,6.538510322570801,107.40149021148682
mig,1.1,43.26438903808594,6.816387176513672,137.13335990905762
mps-uncap,1.2,27.739524841308594,7.281064987182617,116.10496044158936
mig,1.2,43.46740245819092,6.83140754699707,137.12000846862793
mps-uncap,1.3,28.20420265197754,9.659290313720703,159.1489315032959
mig,1.3,43.30575466156006,6.783723831176758,137.1755599975586
