mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,28.91254425048828,11.288785934448244,98.69368076324463
mig,0.6,43.705105781555176,8.478403091430664,135.70308685302734
mps-uncap,0.7,29.430747032165527,12.74449825286866,121.31242752075194
mig,0.7,43.71376037597656,8.43803882598877,136.1386775970459
mps-uncap,0.8,29.78024482727051,13.191914558410646,133.73689651489258
mig,0.8,43.92385482788086,7.987022399902344,136.95287704467773
mps-uncap,0.9,30.85842132568359,14.173579216003423,143.4194087982178
mig,0.9,44.07320022583008,7.512521743774415,137.90316581726074
mps-uncap,1.0,31.66465759277344,14.78111743927002,159.51433181762695
mig,1.0,44.402360916137695,7.508039474487305,138.246488571167
mps-uncap,1.1,32.105064392089844,16.10145568847657,170.88890075683594
mig,1.1,44.29912567138672,7.514238357543945,138.2577896118164
mps-uncap,1.2,31.896448135375977,16.1576509475708,181.76732063293457
mig,1.2,44.440650939941406,7.532739639282227,138.2688045501709
mps-uncap,1.3,32.64212608337402,17.25625991821289,175.00996589660645
mig,1.3,44.4011926651001,7.5565338134765625,138.38682174682617
