mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,32.65269994735717,17.518453598022454,143.46908807754505
mig,0.6,46.12801074981689,10.692248344421387,138.53436708450317
mps-uncap,0.7,33.152079582214355,18.256535530090307,171.40063762664795
mig,0.7,45.99799633026124,10.546300411224344,138.3359432220459
mps-uncap,0.8,32.70125389099121,18.074960708618168,180.71259498596186
mig,0.8,46.17730379104614,10.496664047241214,138.99776935577393
mps-uncap,0.9,33.762898445129395,18.817806243896477,173.99113655090324
mig,0.9,46.23323440551758,10.30583381652831,141.10909461975098
mps-uncap,1.0,34.46798324584961,19.26169395446775,183.59908342361445
mig,1.0,46.46880388259888,9.910106658935543,139.86361503601074
mps-uncap,1.1,34.78090286254883,19.83766078948975,182.19473361968994
mig,1.1,46.25444412231445,9.776651859283445,140.61793327331543
mps-uncap,1.2,34.251422882080064,19.136507511138912,194.7917532920838
mig,1.2,46.787962913513184,9.73822116851807,140.09292602539065
mps-uncap,1.3,35.212922096252434,20.366592407226566,184.05842781066895
mig,1.3,46.761128902435296,10.25920867919922,141.16580963134766
