mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,424.8550783016657,2723.265754958409,141.7831713340584
mig,0.6,427.4042145995854,2712.1599904694017,138.04782300578438
mps-uncap,0.7,514.2003713800976,3170.342266917298,153.24956676583307
mig,0.7,496.58540882554774,3227.028963193973,171.2889754614017
mps-uncap,0.8,608.09445915286,3599.2637382501503,162.51250148761122
mig,0.8,568.0388702514634,3628.065044655018,181.80330117603773
mps-uncap,0.9,645.2377884312482,4048.162433971371,190.4198759066023
mig,0.9,674.2578580845831,4079.2914807413204,212.00419107352585
mps-uncap,1.0,714.5364928310215,4522.138206368249,233.43536981677397
mig,1.0,714.8068547236034,4525.303829825527,225.4012880235539
mps-uncap,1.1,805.6942570123001,3937.9841123288174,259.04937898217537
mig,1.1,736.3641256084107,4582.493981062302,230.04841294988498
mps-uncap,1.2,863.4095198257099,3701.728318522682,259.21497069987294
mig,1.2,732.5389979674715,4567.507523786129,232.36342174742325
mps-uncap,1.3,971.8195082324249,3072.9659393731063,229.04774741413183
mig,1.3,735.2496054206076,4566.972078286842,232.62666238372776
