mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,110.54635047912598,58.07995796203613,193.3295726776123
mig,0.6,350.1887321472168,59.2193603515625,822.9689598083496
mps-uncap,0.7,122.05815315246582,163.38729858398438,259.2434883117676
mig,0.7,410.1564884185791,69.20218467712402,832.6535224914551
mps-uncap,0.8,252.0427703857422,279.13761138916016,245.24259567260742
mig,0.8,336.0600471496582,122.35736846923828,785.9876155853271
mps-uncap,0.9,152.19497680664062,400.7430076599121,509.0816020965576
mig,0.9,846.6582298278809,243.09039115905762,2414.2367839813232
mps-uncap,1.0,217.42749214172363,1549.3543148040771,1318.2933330535889
mig,1.0,1507.650375366211,525.1924991607666,2989.530563354492
mps-uncap,1.1,177.85000801086426,18356.425285339355,1391.218662261963
mig,1.1,11167.947769165039,7462.78977394104,9522.749662399292
mps-uncap,1.2,330.5046558380127,29251.277446746826,11206.178665161133
mig,1.2,12078.584671020508,13818.485975265503,17540.21716117859
mps-uncap,1.3,640.4616832733154,43590.888023376465,17772.90987968445
mig,1.3,22670.80044746399,20786.527156829834,19854.76517677307
