mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,54.77166175842263,32.086534500121985,162.2611141204829
mig,0.6,169.43817138671838,31.008176803588885,621.7312097549433
mps-uncap,0.7,76.32191181182863,92.19970941543562,201.03249549865734
mig,0.7,316.4331245422363,47.12650299072262,684.4891905784607
mps-uncap,0.8,140.83433151245117,121.22673273086568,188.06539535522458
mig,0.8,286.5424633026123,67.00196266174339,589.7844552993773
mps-uncap,0.9,96.95525646209715,333.41759681701654,388.6763668060302
mig,0.9,722.7718544006348,138.46122741699202,2121.732873916625
mps-uncap,1.0,140.5758619308472,1365.7868385314935,1024.1059994697555
mig,1.0,1393.637080192566,436.77749633789057,2727.627067565918
mps-uncap,1.1,148.5679435729984,18287.30298280716,1283.2318902015684
mig,1.1,10756.761741638187,7336.274209022522,9261.958551406859
mps-uncap,1.2,274.9062061309812,28699.638640880585,10727.122178077701
mig,1.2,11794.707515239717,13661.612677574158,17365.64142227173
mps-uncap,1.3,491.1370992660522,43045.401096343994,17478.39379310608
mig,1.3,22426.453819274902,20598.55315208435,19717.938499450684
