mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,0.013113021850585938,0.012874603271484375,0.0152587890625
mig,0.6,0.013589859008789062,0.011444091796875,0.014781951904296875
mps-uncap,0.7,0.013113021850585938,0.010728836059570312,0.014781951904296875
mig,0.7,0.0133514404296875,0.011205673217773438,0.014543533325195312
mps-uncap,0.8,0.012636184692382812,0.011205673217773438,0.014066696166992188
mig,0.8,0.0133514404296875,0.011682510375976562,0.014543533325195312
mps-uncap,0.9,0.012874603271484375,0.011205673217773438,0.01621246337890625
mig,0.9,0.013828277587890625,0.010967254638671875,0.014781951904296875
mps-uncap,1.0,0.011920928955078125,0.013113021850585938,0.015735626220703125
mig,1.0,0.013589859008789062,0.013113021850585938,0.017642974853515625
mps-uncap,1.1,0.013113021850585938,0.0133514404296875,0.015497207641601562
mig,1.1,0.018358230590820312,0.0133514404296875,0.015020370483398438
mps-uncap,1.2,0.013113021850585938,0.014066696166992188,0.018835067749023438
mig,1.2,0.0171661376953125,0.013828277587890625,0.026226043701171875
mps-uncap,1.3,0.0133514404296875,0.013828277587890625,0.017642974853515625
mig,1.3,0.01811981201171875,0.013828277587890625,0.021696090698242188
