mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,0.6,136.60860061645508,64.48054313659668,238.10315132141113
mig,0.6,393.7551975250244,66.88737869262695,955.8122158050537
mps-uncap,0.7,147.42732048034668,171.8461513519287,416.9020652770996
mig,0.7,452.392578125,75.52456855773926,966.5946960449219
mps-uncap,0.8,278.1517505645752,296.1926460266113,340.43145179748535
mig,0.8,377.4843215942383,129.0757656097412,920.6602573394775
mps-uncap,0.9,182.1615695953369,405.3041934967041,573.8770961761475
mig,0.9,889.9452686309814,249.68528747558594,2549.5212078094482
mps-uncap,1.0,245.2235221862793,1555.3858280181885,1451.4188766479492
mig,1.0,1551.8772602081299,532.2544574737549,3126.539707183838
mps-uncap,1.1,205.06620407104492,18360.825777053833,1568.572759628296
mig,1.1,11212.134599685669,7469.594955444336,9660.762310028076
mps-uncap,1.2,357.29265213012695,29259.51910018921,11363.0211353302
mig,1.2,12120.042562484741,13827.14581489563,17678.419828414917
mps-uncap,1.3,666.4509773254395,43604.81595993042,17814.81409072876
mig,1.3,22714.02621269226,20793.18618774414,19992.80571937561
