mode,load,0_inception_v3-4,1_inception_v3-4
mig,0.1,0.012159347534179688,0.011920928955078125
mig,0.2,0.011920928955078125,0.01049041748046875
mig,0.3,0.0095367431640625,0.009775161743164062
mig,0.4,0.010728836059570312,0.011205673217773438
mig,0.5,0.00858306884765625,0.0095367431640625
mig,0.6,0.009775161743164062,0.008821487426757812
mig,0.7,0.009298324584960938,0.0095367431640625
mig,0.8,0.009059906005859375,0.00858306884765625
mig,0.9,0.010728836059570312,0.010728836059570312
mig,1.0,0.010728836059570312,0.011920928955078125
