mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-32,2_resnet50-8
mps-uncap,0.8,16.850709915161133,5.560636520385742,7.601499557495117
mps-uncap,0.9,15.825748443603516,6.180047988891602,7.614612579345703
mps-uncap,1.0,17.69089698791504,5.536317825317383,8.028268814086914
mps-uncap,0.5,22.223234176635742,7.105112075805664,7.666587829589844
mps-uncap,0.6,17.41957664489746,7.031440734863281,325.28233528137207
mps-uncap,0.7,17.755508422851562,6.597280502319336,7.48753547668457
mps-uncap,0.1,23.91958236694336,8.045196533203125,8.129119873046875
mps-uncap,0.2,33.98919105529785,10.545730590820312,8.029699325561523
mps-uncap,0.3,24.1243839263916,8.109569549560547,7.832050323486328
mps-uncap,0.4,23.939132690429688,10.040283203125,7.426023483276367
