mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-32,2_resnet50-8
mps-uncap,0.8,8.519172668457031,2.7475357055664062,3.838777542114258
mps-uncap,0.9,8.6517333984375,2.7227401733398438,3.844738006591797
mps-uncap,1.0,8.741617202758789,2.727031707763672,3.839254379272461
mps-uncap,0.5,8.583307266235352,2.725839614868164,3.840923309326172
mps-uncap,0.6,8.605480194091797,2.7434825897216797,3.821134567260742
mps-uncap,0.7,8.643865585327148,2.7434825897216797,3.8149356842041016
mps-uncap,0.1,9.028911590576172,2.7463436126708984,3.835916519165039
mps-uncap,0.2,8.719921112060547,2.749919891357422,3.8204193115234375
mps-uncap,0.3,8.748769760131836,2.7217864990234375,3.8537979125976562
mps-uncap,0.4,8.790016174316406,2.7425289154052734,3.8192272186279297
