mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-32,2_resnet50-8
mps-uncap,0.8,25.72486400604249,11.914253234863283,20.0584888458252
mps-uncap,0.9,41.210055351257324,21.791815757751465,44.808769226074226
mps-uncap,1.0,197.15566635131833,49.067068099975614,915.6426429748535
mps-uncap,0.5,14.383935928344728,6.4821004867553675,6.577420234680176
mps-uncap,0.6,13.68637084960938,6.7668914794921875,8.314561843872069
mps-uncap,0.7,20.824432373046875,6.955623626708984,10.678386688232417
mps-uncap,0.1,3.7662982940673904,1.4497756958007864,0.0762462615966797
mps-uncap,0.2,9.54294204711914,4.83388900756836,3.295779228210452
mps-uncap,0.3,11.850070953369142,5.800724029541016,4.86302375793457
mps-uncap,0.4,11.492538452148436,6.2713623046875,5.694770812988281
