mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-32,2_resnet50-8
mps-uncap,0.8,74.60149288177482,32.54768371582032,45.362730026245124
mps-uncap,0.9,92.64469146728518,56.26859664916984,96.8897819519043
mps-uncap,1.0,340.68466663360596,84.14431571960439,1057.4399566650393
mps-uncap,0.5,40.78981161117553,18.063943386077877,19.268858432769786
mps-uncap,0.6,39.92442607879637,20.103993415832498,25.161199569702138
mps-uncap,0.7,53.41632127761838,18.546514511108384,28.507428169250467
mps-uncap,0.1,36.33064031600953,12.665886878967283,12.317266464233398
mps-uncap,0.2,39.22508955001832,15.947151184082035,14.1774582862854
mps-uncap,0.3,38.997707366943345,18.373394012451158,17.3239707946777
mps-uncap,0.4,35.17502069473266,19.555258750915524,18.325645923614466
