mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-32,2_resnet50-8
mps-uncap,0.8,106.92044077504218,5219.775754802706,1039.537741244421
mps-uncap,0.9,122.03911314381781,5913.453355925043,1194.9917884769852
mps-uncap,1.0,131.11201765921234,6510.555695565998,1312.3876757130697
mps-uncap,0.5,66.30321996095978,3315.670305425888,665.8218705304616
mps-uncap,0.6,81.47990510508521,3940.5505438953082,817.215282129455
mps-uncap,0.7,90.38094987902238,4516.909708748675,925.2135218913439
mps-uncap,0.1,14.146800559492869,684.252662589195,128.8106594945301
mps-uncap,0.2,26.466104536802032,1348.434615453046,267.02778697761306
mps-uncap,0.3,40.17757441768511,1939.9052469941525,411.44567317022216
mps-uncap,0.4,54.39042829722142,2614.4354097836276,536.3944414000155
