mode,load,0_alexnet-16,1_densenet201-4,2_vgg13-4
mps-uncap,0.6,6.664037704467773,64.80526924133301,6.167888641357422
mig,0.6,10.206913948059098,60.60183048248291,31.926608085632324
mps-uncap,0.7,6.382274627685548,86.48252487182617,6.798982620239258
mig,0.7,13.69714736938477,75.04913806915293,40.7158374786377
mps-uncap,0.8,7.467126846313484,196.54750823974612,7.551336288452148
mig,0.8,58.06879997253425,136.1836433410645,62.546753883361795
mps-uncap,0.9,9.105491638183594,225.10511875152585,8.338165283203127
mig,0.9,860.292601585388,243.8201904296875,183.6998462677002
mps-uncap,1.0,12.236237525939941,8374.816417694092,8.97367000579834
mig,1.0,2080.145478248596,904.7288417816163,378.98921966552734
mps-uncap,1.1,29.459309577941905,15367.821621894836,10.359239578247069
mig,1.1,6257.124710083008,5913.26470375061,6904.178833961487
mps-uncap,1.2,78.378963470459,25179.9533367157,11.709594726562496
mig,1.2,12831.573510169983,15161.809158325195,13269.27683353424
mps-uncap,1.3,5435.886907577516,26497.30813503265,12.72552013397217
mig,1.3,17557.437872886654,17057.98363685608,18634.68372821808
